"","unique_terms","count","bins"
"1","curtailments",1,1
"2","alex",1,1
"3","bullying",1,1
"4","bureau",1,1
"5","despite",2,1
"6","fergal",2,1
"7","behaviour",2,1
"8","arcy",2,1
"9","kayaking",2,1
"10","dominick",2,1
"11","barros",2,1
"12","investigating",2,1
"13","crimes",2,1
"14","tbilisi",2,1
"15","damage",2,1
"16","division",2,1
"17","donnellan",2,1
"18","attached",2,1
"19","barrier",2,2
"20","discovery",2,2
"21","baboro",3,2
"22","experience",3,2
"23","passable",3,2
"24","bram",3,2
"25","crowned",3,2
"26","missing",3,2
"27","recorded",3,2
"28","starting",3,2
"29","clochartaigh",3,2
"30","clifden",3,2
"31","treacherous",3,2
"32","moycullen",4,2
"33","friends",4,2
"34","crowd",4,2
"35","colourful",4,2
"36","hoping",4,2
"37","accident",4,3
"38","cars",4,3
"39","football",4,3
"40","nationwide",4,3
"41","alert",4,3
"42","countdown",4,3
"43","cope",4,3
"44","summer",4,3
"45","byrne",4,3
"46","education",4,3
"47","however",4,3
"48","continues",4,3
"49","snapped",5,3
"50","athenry",5,3
"51","carraroe",5,3
"52","blanket",5,3
"53","appeal",5,3
"54","accommodation",5,3
"55","gardai",5,4
"56","congratulations",5,4
"57","latest",5,4
"58","locally",5,4
"59","gort",6,4
"60","chief",6,4
"61","future",6,4
"62","relation",6,4
"63","contact",6,4
"64","association",6,4
"65","captured",6,4
"66","caroline",6,4
"67","extreme",6,4
"68","donoghue",7,4
"69","mccarthy",7,4
"70","david",7,4
"71","non",7,4
"72","start",7,4
"73","brian",7,5
"74","came",7,5
"75","five",7,5
"76","group",8,5
"77","coast",8,5
"78","defence",8,5
"79","getting",8,5
"80","minute",8,5
"81","community",8,5
"82","tickets",9,5
"83","restaurant",9,5
"84","along",9,5
"85","minor",9,5
"86","captain",9,5
"87","supporters",9,5
"88","school",9,5
"89","white",10,5
"90","gaillimhabu",10,5
"91","grady",10,6
"92","traffic",10,6
"93","know",10,6
"94","recently",10,6
"95","family",11,6
"96","available",11,6
"97","expect",11,6
"98","ophelia",11,6
"99","died",11,6
"100","country",11,6
"101","risk",11,6
"102","million",11,6
"103","done",11,6
"104","three",11,6
"105","loughrea",12,6
"106","afternoon",12,6
"107","hotel",12,6
"108","another",12,6
"109","life",12,7
"110","looking",12,7
"111","christmas",12,7
"112","great",12,7
"113","emergency",12,7
"114","ahead",12,7
"115","live",13,7
"116","tuam",13,7
"117","student",13,7
"118","cathy",13,7
"119","lead",13,7
"120","martin",14,7
"121","square",14,7
"122","fun",14,7
"123","festival",14,7
"124","big",14,7
"125","special",14,7
"126","event",14,7
"127","tree",15,8
"128","pearse",15,8
"129","court",15,8
"130","back",15,8
"131","good",16,8
"132","area",16,8
"133","saturday",16,8
"134","every",16,8
"135","site",16,8
"136","aid",16,8
"137","come",17,8
"138","public",17,8
"139","closed",18,8
"140","sunday",18,8
"141","next",18,8
"142","eyre",18,8
"143","friday",19,8
"144","side",19,8
"145","cunningham",19,9
"146","coming",19,9
"147","senior",19,9
"148","support",21,9
"149","september",21,9
"150","following",22,9
"151","house",23,9
"152","enda",24,9
"153","garda",24,9
"154","get",24,9
"155","people",25,9
"156","west",27,9
"157","two",29,9
"158","last",29,9
"159","set",30,9
"160","home",32,9
"161","shaughnessy",33,9
"162","connacht",34,9
"163","can",38,10
"164","night",39,10
"165","road",39,10
"166","county",40,10
"167","even",40,10
"168","salthill",41,10
"169","council",45,10
"170","row",46,10
"171","morning",55,10
"172","age",70,10
"173","ireland",71,10
"174","man",75,10
"175","end",79,10
"176","art",85,10
"177","photo",89,10
"178","city",98,10
"179","way",303,10
